"","date","Country","ISO3","confirmed","death","confirmed_cum","death_cum","confirmed_cum_lag_01","death_cum_lag_01","confirmed_cum_lag_02","death_cum_lag_02","confirmed_cum_lag_03","death_cum_lag_03","confirmed_cum_lag_04","death_cum_lag_04","confirmed_cum_lag_05","death_cum_lag_05","confirmed_cum_lag_06","death_cum_lag_06","confirmed_cum_lag_07","death_cum_lag_07","confirmed_cum_lag_08","death_cum_lag_08","confirmed_cum_lag_09","death_cum_lag_09","confirmed_cum_lag_10","death_cum_lag_10"
"1",2020-01-22,"China","CHN",548,17,548,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-01-23,"China","CHN",95,1,643,18,548,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-01-24,"China","CHN",277,8,920,26,95,1,548,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-01-25,"China","CHN",486,16,1406,42,277,8,95,1,548,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-01-26,"China","CHN",669,14,2075,56,486,16,277,8,95,1,548,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-01-27,"China","CHN",802,26,2877,82,669,14,486,16,277,8,95,1,548,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-01-28,"China","CHN",2632,49,5509,131,802,26,669,14,486,16,277,8,95,1,548,17,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-01-29,"China","CHN",578,2,6087,133,2632,49,802,26,669,14,486,16,277,8,95,1,548,17,NA,NA,NA,NA,NA,NA
"9",2020-01-30,"China","CHN",2054,38,8141,171,578,2,2632,49,802,26,669,14,486,16,277,8,95,1,548,17,NA,NA,NA,NA
"10",2020-01-31,"China","CHN",1661,42,9802,213,2054,38,578,2,2632,49,802,26,669,14,486,16,277,8,95,1,548,17,NA,NA
"11",2020-02-01,"China","CHN",2089,46,11891,259,1661,42,2054,38,578,2,2632,49,802,26,669,14,486,16,277,8,95,1,548,17
"12",2020-02-02,"China","CHN",4739,102,16630,361,2089,46,1661,42,2054,38,578,2,2632,49,802,26,669,14,486,16,277,8,95,1
"13",2020-02-03,"China","CHN",3086,64,19716,425,4739,102,2089,46,1661,42,2054,38,578,2,2632,49,802,26,669,14,486,16,277,8
"14",2020-02-04,"China","CHN",3991,66,23707,491,3086,64,4739,102,2089,46,1661,42,2054,38,578,2,2632,49,802,26,669,14,486,16
"15",2020-02-05,"China","CHN",3733,72,27440,563,3991,66,3086,64,4739,102,2089,46,1661,42,2054,38,578,2,2632,49,802,26,669,14
"16",2020-02-06,"China","CHN",3147,70,30587,633,3733,72,3991,66,3086,64,4739,102,2089,46,1661,42,2054,38,578,2,2632,49,802,26
"17",2020-02-07,"China","CHN",3523,85,34110,718,3147,70,3733,72,3991,66,3086,64,4739,102,2089,46,1661,42,2054,38,578,2,2632,49
"18",2020-02-08,"China","CHN",2704,87,36814,805,3523,85,3147,70,3733,72,3991,66,3086,64,4739,102,2089,46,1661,42,2054,38,578,2
"19",2020-02-09,"China","CHN",3015,100,39829,905,2704,87,3523,85,3147,70,3733,72,3991,66,3086,64,4739,102,2089,46,1661,42,2054,38
"20",2020-02-10,"China","CHN",2525,107,42354,1012,3015,100,2704,87,3523,85,3147,70,3733,72,3991,66,3086,64,4739,102,2089,46,1661,42
"21",2020-02-11,"China","CHN",2032,100,44386,1112,2525,107,3015,100,2704,87,3523,85,3147,70,3733,72,3991,66,3086,64,4739,102,2089,46
"22",2020-02-12,"China","CHN",373,5,44759,1117,2032,100,2525,107,3015,100,2704,87,3523,85,3147,70,3733,72,3991,66,3086,64,4739,102
"23",2020-02-13,"China","CHN",15136,252,59895,1369,373,5,2032,100,2525,107,3015,100,2704,87,3523,85,3147,70,3733,72,3991,66,3086,64
"24",2020-02-14,"China","CHN",6463,152,66358,1521,15136,252,373,5,2032,100,2525,107,3015,100,2704,87,3523,85,3147,70,3733,72,3991,66
"25",2020-02-15,"China","CHN",2055,142,68413,1663,6463,152,15136,252,373,5,2032,100,2525,107,3015,100,2704,87,3523,85,3147,70,3733,72
"26",2020-02-16,"China","CHN",2100,103,70513,1766,2055,142,6463,152,15136,252,373,5,2032,100,2525,107,3015,100,2704,87,3523,85,3147,70
"27",2020-02-17,"China","CHN",1921,98,72434,1864,2100,103,2055,142,6463,152,15136,252,373,5,2032,100,2525,107,3015,100,2704,87,3523,85
"28",2020-02-18,"China","CHN",1777,139,74211,2003,1921,98,2100,103,2055,142,6463,152,15136,252,373,5,2032,100,2525,107,3015,100,2704,87
"29",2020-02-19,"China","CHN",408,113,74619,2116,1777,139,1921,98,2100,103,2055,142,6463,152,15136,252,373,5,2032,100,2525,107,3015,100
"30",2020-02-20,"China","CHN",458,122,75077,2238,408,113,1777,139,1921,98,2100,103,2055,142,6463,152,15136,252,373,5,2032,100,2525,107
"31",2020-02-21,"China","CHN",473,0,75550,2238,458,122,408,113,1777,139,1921,98,2100,103,2055,142,6463,152,15136,252,373,5,2032,100
"32",2020-02-22,"China","CHN",1451,205,77001,2443,473,0,458,122,408,113,1777,139,1921,98,2100,103,2055,142,6463,152,15136,252,373,5
"33",2020-02-23,"China","CHN",21,2,77022,2445,1451,205,473,0,458,122,408,113,1777,139,1921,98,2100,103,2055,142,6463,152,15136,252
"34",2020-02-24,"China","CHN",219,150,77241,2595,21,2,1451,205,473,0,458,122,408,113,1777,139,1921,98,2100,103,2055,142,6463,152
"35",2020-02-25,"China","CHN",513,70,77754,2665,219,150,21,2,1451,205,473,0,458,122,408,113,1777,139,1921,98,2100,103,2055,142
"36",2020-02-26,"China","CHN",412,52,78166,2717,513,70,219,150,21,2,1451,205,473,0,458,122,408,113,1777,139,1921,98,2100,103
"37",2020-02-27,"China","CHN",434,29,78600,2746,412,52,513,70,219,150,21,2,1451,205,473,0,458,122,408,113,1777,139,1921,98
"38",2020-02-28,"China","CHN",328,44,78928,2790,434,29,412,52,513,70,219,150,21,2,1451,205,473,0,458,122,408,113,1777,139
"39",2020-02-29,"China","CHN",428,47,79356,2837,328,44,434,29,412,52,513,70,219,150,21,2,1451,205,473,0,458,122,408,113
"40",2020-03-01,"China","CHN",576,35,79932,2872,428,47,328,44,434,29,412,52,513,70,219,150,21,2,1451,205,473,0,458,122
"41",2020-03-02,"China","CHN",204,42,80136,2914,576,35,428,47,328,44,434,29,412,52,513,70,219,150,21,2,1451,205,473,0
"42",2020-03-03,"China","CHN",125,33,80261,2947,204,42,576,35,428,47,328,44,434,29,412,52,513,70,219,150,21,2,1451,205
"43",2020-03-04,"China","CHN",125,36,80386,2983,125,33,204,42,576,35,428,47,328,44,434,29,412,52,513,70,219,150,21,2
"44",2020-03-05,"China","CHN",151,32,80537,3015,125,36,125,33,204,42,576,35,428,47,328,44,434,29,412,52,513,70,219,150
"45",2020-03-06,"China","CHN",153,29,80690,3044,151,32,125,36,125,33,204,42,576,35,428,47,328,44,434,29,412,52,513,70
"46",2020-03-07,"China","CHN",80,28,80770,3072,153,29,151,32,125,36,125,33,204,42,576,35,428,47,328,44,434,29,412,52
"47",2020-03-08,"China","CHN",53,28,80823,3100,80,28,153,29,151,32,125,36,125,33,204,42,576,35,428,47,328,44,434,29
"48",2020-03-09,"China","CHN",37,23,80860,3123,53,28,80,28,153,29,151,32,125,36,125,33,204,42,576,35,428,47,328,44
"49",2020-03-10,"China","CHN",27,16,80887,3139,37,23,53,28,80,28,153,29,151,32,125,36,125,33,204,42,576,35,428,47
"50",2020-03-11,"China","CHN",34,22,80921,3161,27,16,37,23,53,28,80,28,153,29,151,32,125,36,125,33,204,42,576,35
"51",2020-03-12,"China","CHN",11,11,80932,3172,34,22,27,16,37,23,53,28,80,28,153,29,151,32,125,36,125,33,204,42
"52",2020-03-13,"China","CHN",13,8,80945,3180,11,11,34,22,27,16,37,23,53,28,80,28,153,29,151,32,125,36,125,33
"53",2020-03-14,"China","CHN",32,13,80977,3193,13,8,11,11,34,22,27,16,37,23,53,28,80,28,153,29,151,32,125,36
"54",2020-03-15,"China","CHN",26,10,81003,3203,32,13,13,8,11,11,34,22,27,16,37,23,53,28,80,28,153,29,151,32
"55",2020-03-16,"China","CHN",30,14,81033,3217,26,10,32,13,13,8,11,11,34,22,27,16,37,23,53,28,80,28,153,29
"56",2020-03-17,"China","CHN",25,13,81058,3230,30,14,26,10,32,13,13,8,11,11,34,22,27,16,37,23,53,28,80,28
"57",2020-03-18,"China","CHN",44,11,81102,3241,25,13,30,14,26,10,32,13,13,8,11,11,34,22,27,16,37,23,53,28
"58",2020-03-19,"China","CHN",54,8,81156,3249,44,11,25,13,30,14,26,10,32,13,13,8,11,11,34,22,27,16,37,23
"59",2020-03-20,"China","CHN",94,4,81250,3253,54,8,44,11,25,13,30,14,26,10,32,13,13,8,11,11,34,22,27,16
"60",2020-03-21,"China","CHN",55,6,81305,3259,94,4,54,8,44,11,25,13,30,14,26,10,32,13,13,8,11,11,34,22
"61",2020-03-22,"China","CHN",130,15,81435,3274,55,6,94,4,54,8,44,11,25,13,30,14,26,10,32,13,13,8,11,11
"62",2020-03-23,"China","CHN",63,0,81498,3274,130,15,55,6,94,4,54,8,44,11,25,13,30,14,26,10,32,13,13,8
"63",2020-01-22,"Italy","ITA",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2020-01-23,"Italy","ITA",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2020-01-24,"Italy","ITA",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2020-01-25,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2020-01-26,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2020-01-27,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2020-01-28,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"70",2020-01-29,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"71",2020-01-30,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"72",2020-01-31,"Italy","ITA",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"73",2020-02-01,"Italy","ITA",0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2020-02-02,"Italy","ITA",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2020-02-03,"Italy","ITA",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2020-02-04,"Italy","ITA",0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2020-02-05,"Italy","ITA",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"78",2020-02-06,"Italy","ITA",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"79",2020-02-07,"Italy","ITA",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"80",2020-02-08,"Italy","ITA",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"81",2020-02-09,"Italy","ITA",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"82",2020-02-10,"Italy","ITA",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"83",2020-02-11,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2020-02-12,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"85",2020-02-13,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"86",2020-02-14,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"87",2020-02-15,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"88",2020-02-16,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"89",2020-02-17,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"90",2020-02-18,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2020-02-19,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2020-02-20,"Italy","ITA",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2020-02-21,"Italy","ITA",17,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2020-02-22,"Italy","ITA",42,1,62,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2020-02-23,"Italy","ITA",93,1,155,3,42,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2020-02-24,"Italy","ITA",74,4,229,7,93,1,42,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2020-02-25,"Italy","ITA",93,3,322,10,74,4,93,1,42,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0
"98",2020-02-26,"Italy","ITA",131,2,453,12,93,3,74,4,93,1,42,1,17,1,0,0,0,0,0,0,0,0,0,0
"99",2020-02-27,"Italy","ITA",202,5,655,17,131,2,93,3,74,4,93,1,42,1,17,1,0,0,0,0,0,0,0,0
"100",2020-02-28,"Italy","ITA",233,4,888,21,202,5,131,2,93,3,74,4,93,1,42,1,17,1,0,0,0,0,0,0
"101",2020-02-29,"Italy","ITA",240,8,1128,29,233,4,202,5,131,2,93,3,74,4,93,1,42,1,17,1,0,0,0,0
"102",2020-03-01,"Italy","ITA",566,5,1694,34,240,8,233,4,202,5,131,2,93,3,74,4,93,1,42,1,17,1,0,0
"103",2020-03-02,"Italy","ITA",342,18,2036,52,566,5,240,8,233,4,202,5,131,2,93,3,74,4,93,1,42,1,17,1
"104",2020-03-03,"Italy","ITA",466,27,2502,79,342,18,566,5,240,8,233,4,202,5,131,2,93,3,74,4,93,1,42,1
"105",2020-03-04,"Italy","ITA",587,28,3089,107,466,27,342,18,566,5,240,8,233,4,202,5,131,2,93,3,74,4,93,1
"106",2020-03-05,"Italy","ITA",769,41,3858,148,587,28,466,27,342,18,566,5,240,8,233,4,202,5,131,2,93,3,74,4
"107",2020-03-06,"Italy","ITA",778,49,4636,197,769,41,587,28,466,27,342,18,566,5,240,8,233,4,202,5,131,2,93,3
"108",2020-03-07,"Italy","ITA",1247,36,5883,233,778,49,769,41,587,28,466,27,342,18,566,5,240,8,233,4,202,5,131,2
"109",2020-03-08,"Italy","ITA",1492,133,7375,366,1247,36,778,49,769,41,587,28,466,27,342,18,566,5,240,8,233,4,202,5
"110",2020-03-09,"Italy","ITA",1797,97,9172,463,1492,133,1247,36,778,49,769,41,587,28,466,27,342,18,566,5,240,8,233,4
"111",2020-03-10,"Italy","ITA",977,168,10149,631,1797,97,1492,133,1247,36,778,49,769,41,587,28,466,27,342,18,566,5,240,8
"112",2020-03-11,"Italy","ITA",2313,196,12462,827,977,168,1797,97,1492,133,1247,36,778,49,769,41,587,28,466,27,342,18,566,5
"113",2020-03-12,"Italy","ITA",0,0,12462,827,2313,196,977,168,1797,97,1492,133,1247,36,778,49,769,41,587,28,466,27,342,18
"114",2020-03-13,"Italy","ITA",5198,439,17660,1266,0,0,2313,196,977,168,1797,97,1492,133,1247,36,778,49,769,41,587,28,466,27
"115",2020-03-14,"Italy","ITA",3497,175,21157,1441,5198,439,0,0,2313,196,977,168,1797,97,1492,133,1247,36,778,49,769,41,587,28
"116",2020-03-15,"Italy","ITA",3590,368,24747,1809,3497,175,5198,439,0,0,2313,196,977,168,1797,97,1492,133,1247,36,778,49,769,41
"117",2020-03-16,"Italy","ITA",3233,349,27980,2158,3590,368,3497,175,5198,439,0,0,2313,196,977,168,1797,97,1492,133,1247,36,778,49
"118",2020-03-17,"Italy","ITA",3526,345,31506,2503,3233,349,3590,368,3497,175,5198,439,0,0,2313,196,977,168,1797,97,1492,133,1247,36
"119",2020-03-18,"Italy","ITA",4207,475,35713,2978,3526,345,3233,349,3590,368,3497,175,5198,439,0,0,2313,196,977,168,1797,97,1492,133
"120",2020-03-19,"Italy","ITA",5322,427,41035,3405,4207,475,3526,345,3233,349,3590,368,3497,175,5198,439,0,0,2313,196,977,168,1797,97
"121",2020-03-20,"Italy","ITA",5986,627,47021,4032,5322,427,4207,475,3526,345,3233,349,3590,368,3497,175,5198,439,0,0,2313,196,977,168
"122",2020-03-21,"Italy","ITA",6557,793,53578,4825,5986,627,5322,427,4207,475,3526,345,3233,349,3590,368,3497,175,5198,439,0,0,2313,196
"123",2020-03-22,"Italy","ITA",5560,651,59138,5476,6557,793,5986,627,5322,427,4207,475,3526,345,3233,349,3590,368,3497,175,5198,439,0,0
"124",2020-03-23,"Italy","ITA",4789,601,63927,6077,5560,651,6557,793,5986,627,5322,427,4207,475,3526,345,3233,349,3590,368,3497,175,5198,439
"125",2020-01-22,"US","USA",1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2020-01-23,"US","USA",0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2020-01-24,"US","USA",1,0,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2020-01-25,"US","USA",0,0,2,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2020-01-26,"US","USA",3,0,5,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2020-01-27,"US","USA",0,0,5,0,3,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2020-01-28,"US","USA",0,0,5,0,0,0,3,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"132",2020-01-29,"US","USA",0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"133",2020-01-30,"US","USA",0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA
"134",2020-01-31,"US","USA",2,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,NA,NA
"135",2020-02-01,"US","USA",1,0,8,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
"136",2020-02-02,"US","USA",0,0,8,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
"137",2020-02-03,"US","USA",3,0,11,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
"138",2020-02-04,"US","USA",0,0,11,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
"139",2020-02-05,"US","USA",0,0,11,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0
"140",2020-02-06,"US","USA",0,0,11,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"141",2020-02-07,"US","USA",0,0,11,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0
"142",2020-02-08,"US","USA",0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0
"143",2020-02-09,"US","USA",0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0
"144",2020-02-10,"US","USA",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0
"145",2020-02-11,"US","USA",1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
"146",2020-02-12,"US","USA",0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"147",2020-02-13,"US","USA",1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"148",2020-02-14,"US","USA",0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",2020-02-15,"US","USA",0,0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
